,1-linoleoyl-GPC (18:2),3beta-hydroxy-5-cholestenoate,"1,6-anhydroglucose",etiocholanolone glucuronide,dihydrokaempferol,4-hydroxybenzoate,"1,2-dilinolenoyl-galactosylglycerol (18:3/18:3)*","5,6-dihydrouracil",N-methyl-GABA,methyl indole-3-acetate,4-hydroxyhippurate,5-methylthioadenosine (MTA),gamma-CEHC,eriodictyol,N-acetylcarnosine,leucylglycine,xylose,indolin-2-one,citrate,syringaldehyde,isobutyrylcarnitine (C4),daidzein,taurochenodeoxycholic acid 3-sulfate,solanidine,behenoyl sphingomyelin (d18:1/22:0)*,allo-threonine,hesperidin,taurolithocholate 3-sulfate,"1,3-dimethylurate",paraxanthine,p-cresol sulfate,3-hydroxystearate,lanosterol,"1,3-propanediol",argininosuccinate,"1,5-anhydroglucitol (1,5-AG)",1-linoleoyl-digalactosylglycerol (18:2)*,hypotaurine,behenoyl ethanolamide (22:0)*,taurochenodeoxycholate,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),guanidinosuccinate,dexpanthenol,3-(N-acetyl-L-cystein-S-yl) acetaminophen,ectoine,gamma-glutamylvaline,8-hydroxyoctanoate,pantetheine,methionine sulfone,3-phenylpropionate (hydrocinnamate),"sphingomyelin (d18:1/20:0, d16:1/22:0)*",beta-citrylglutamate,maltol,ascorbic acid 3-sulfate*,myristoylcarnitine (C14),decanoylcarnitine (C10),N-succinyl-phenylalanine,12-dehydrocholate,pimelate (C7-DC),gamma-glutamylglutamate,"2,8-quinolinediol",tartarate,2-oxo-1-pyrrolidinepropionate,retinol (Vitamin A),isoursodeoxycholate,3-hydroxystachydrine*,pseudouridine,leucylalanine,stearidonate (18:4n3),linolenoyl-linolenoyl-glycerol (18:3/18:3) [2]*,(R)-salsolinol,8-hydroxyguanine,gamma-glutamyltyrosine,tetrahydrocortisol glucuronide ,2-methylmalonylcarnitine (C4-DC),isocaproate (i6:0),1-linoleoyl-GPE (18:2)*,2-myristoylglycerol (14:0),pyridoxine (Vitamin B6),diosmetin,N-carbamoylalanine,"bilirubin (E,E)*",N-oleoylglycine,levulinate (4-oxovalerate),sarcosine,3-methyl-2-oxobutyrate,dihydroquercetin,5-acetylamino-6-formylamino-3-methyluracil,3-hydroxydecanoate,"N,N-dimethylalanine",2-palmitoyl-GPC* (16:0)*,glycyrrhetinate,4-acetamidobenzoate,dopamine 3-O-sulfate,N-succinyl-leucine,N(1)-acetylspermine,vanillylmandelate (VMA),3-hydroxyhexanoate,tiglyl carnitine (C5),vanillin,chlorogenate,N-acetyl-3-methylhistidine*,N1-methylinosine,epicatechin,"3,5-dihydroxyphenylpropionate",gamma-glutamyl-alpha-lysine,orotidine,ponciretin,beta-hydroxyisovalerate,2-hydroxyheptanoate*,"sphingomyelin (d18:2/24:1, d18:1/24:2)*",palmitoylcholine,sucralose,butyrylglycine (C4),10-undecenoate (11:1n1),tartronate (hydroxymalonate),ergosterol,"3,4-dihydroxyphenylacetate",propionylcarnitine (C3),mannose,N-acetylsphingosine,indole,isovitexin,3-hydroxymargarate,N-carbamoylaspartate,phenylacetylaspartate,"5,6-dihydrothymine",dihydroferulic acid sulfate,tauroursodeoxycholate,1-ribosyl-imidazoleacetate*,glutarylcarnitine (C5-DC),2-stearoyl-GPE (18:0)*,dimethyl sulfone,soyasaponin I,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),heptadecatrienoate (17:3)*,cortolone glucuronide (1),N-propionylmethionine,myristoleoylcarnitine (C14:1)*,N-methylleucine,tryptamine,tyrosylglycine,3-hydroxy-2-methylpyridine,lithocholate,vanillic acid glycine,3-hydroxyoctanoate,histidine betaine (hercynine)*,luteolin,phenol sulfate,ribitol,C-glycosyltryptophan,spermine,gamma-glutamylisoleucine*
dihydroquercetin,12.0,12.0,9.0,11.0,2.0,11.0,13.0,11.0,12.0,11.0,13.0,10.0,10.0,3.0,10.0,12.0,12.0,10.0,10.0,10.0,11.0,9.0,11.0,11.0,10.0,14.0,8.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,13.0,11.0,12.0,10.0,13.0,11.0,11.0,13.0,11.0,15.0,14.0,12.0,10.0,12.0,13.0,7.0,10.0,13.0,10.0,11.0,11.0,11.0,13.0,12.0,11.0,13.0,10.0,11.0,10.0,10.0,12.0,13.0,9.0,12.0,10.0,10.0,9.0,10.0,13.0,11.0,11.0,12.0,12.0,12.0,10.0,7.0,14.0,10.0,14.0,10.0,13.0,10.0,0.0,11.0,10.0,13.0,12.0,10.0,11.0,11.0,13.0,12.0,10.0,10.0,11.0,10.0,13.0,13.0,9.0,6.0,7.0,12.0,9.0,7.0,11.0,11.0,11.0,12.0,12.0,14.0,11.0,10.0,11.0,11.0,11.0,12.0,10.0,10.0,7.0,11.0,13.0,13.0,11.0,11.0,11.0,9.0,11.0,12.0,10.0,12.0,11.0,11.0,10.0,13.0,11.0,13.0,10.0,12.0,10.0,12.0,13.0,10.0,13.0,6.0,11.0,11.0,10.0,12.0,12.0
5-acetylamino-6-formylamino-3-methyluracil,11.0,11.0,6.0,10.0,11.0,10.0,12.0,4.0,11.0,8.0,12.0,9.0,7.0,10.0,9.0,11.0,11.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,13.0,11.0,10.0,8.0,8.0,10.0,10.0,9.0,10.0,12.0,10.0,11.0,9.0,12.0,10.0,10.0,12.0,10.0,14.0,13.0,11.0,9.0,11.0,12.0,8.0,9.0,12.0,7.0,8.0,10.0,10.0,12.0,11.0,10.0,12.0,7.0,10.0,7.0,9.0,11.0,12.0,8.0,11.0,9.0,9.0,6.0,7.0,12.0,10.0,10.0,11.0,11.0,11.0,7.0,10.0,13.0,7.0,13.0,9.0,12.0,9.0,11.0,0.0,9.0,12.0,11.0,9.0,10.0,10.0,12.0,11.0,9.0,9.0,10.0,9.0,12.0,12.0,8.0,11.0,8.0,11.0,8.0,10.0,10.0,10.0,10.0,11.0,11.0,13.0,10.0,9.0,10.0,10.0,10.0,11.0,9.0,7.0,10.0,10.0,12.0,12.0,4.0,10.0,10.0,8.0,10.0,11.0,9.0,11.0,10.0,10.0,9.0,12.0,10.0,12.0,7.0,11.0,7.0,11.0,12.0,9.0,12.0,9.0,10.0,10.0,7.0,11.0,11.0
3-hydroxydecanoate,10.0,10.0,7.0,9.0,10.0,9.0,11.0,9.0,8.0,9.0,11.0,8.0,8.0,9.0,6.0,8.0,10.0,8.0,6.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,7.0,9.0,8.0,9.0,9.0,9.0,10.0,6.0,11.0,9.0,9.0,9.0,9.0,11.0,10.0,8.0,2.0,8.0,9.0,7.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,7.0,8.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,10.0,8.0,10.0,6.0,9.0,6.0,10.0,9.0,0.0,9.0,10.0,8.0,9.0,7.0,9.0,8.0,8.0,2.0,9.0,8.0,11.0,9.0,7.0,10.0,7.0,8.0,7.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,6.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,7.0,9.0,7.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,10.0,11.0,2.0,9.0,8.0,7.0,9.0,8.0,10.0,8.0
"N,N-dimethylalanine",13.0,13.0,10.0,12.0,13.0,12.0,14.0,12.0,5.0,12.0,14.0,11.0,11.0,12.0,9.0,7.0,13.0,11.0,7.0,11.0,12.0,12.0,12.0,12.0,11.0,5.0,13.0,12.0,12.0,12.0,10.0,12.0,11.0,12.0,4.0,12.0,13.0,9.0,14.0,12.0,12.0,4.0,12.0,6.0,5.0,7.0,9.0,5.0,4.0,10.0,11.0,4.0,11.0,12.0,12.0,12.0,4.0,13.0,12.0,4.0,11.0,12.0,11.0,11.0,13.0,4.0,10.0,7.0,11.0,11.0,10.0,11.0,4.0,12.0,12.0,13.0,13.0,13.0,11.0,12.0,5.0,11.0,5.0,9.0,4.0,9.0,13.0,12.0,9.0,0.0,13.0,11.0,12.0,10.0,4.0,9.0,11.0,9.0,12.0,11.0,14.0,4.0,10.0,13.0,10.0,7.0,10.0,12.0,12.0,12.0,12.0,13.0,13.0,5.0,12.0,7.0,12.0,12.0,12.0,13.0,11.0,11.0,12.0,12.0,4.0,4.0,12.0,10.0,12.0,10.0,12.0,13.0,11.0,13.0,12.0,12.0,11.0,4.0,12.0,4.0,11.0,7.0,11.0,13.0,14.0,9.0,4.0,11.0,10.0,12.0,11.0,13.0,7.0
2-palmitoyl-GPC* (16:0)*,4.0,10.0,9.0,9.0,12.0,11.0,11.0,11.0,12.0,11.0,13.0,10.0,10.0,11.0,10.0,12.0,12.0,10.0,10.0,10.0,9.0,11.0,9.0,9.0,8.0,14.0,12.0,9.0,11.0,11.0,11.0,9.0,8.0,11.0,13.0,11.0,10.0,10.0,13.0,9.0,5.0,13.0,9.0,15.0,14.0,12.0,10.0,12.0,13.0,9.0,8.0,13.0,10.0,11.0,9.0,9.0,13.0,10.0,9.0,13.0,10.0,11.0,10.0,8.0,10.0,13.0,9.0,12.0,8.0,8.0,9.0,10.0,13.0,9.0,9.0,10.0,8.0,10.0,10.0,11.0,14.0,10.0,14.0,10.0,13.0,10.0,12.0,11.0,10.0,13.0,0.0,8.0,11.0,11.0,13.0,12.0,10.0,10.0,9.0,10.0,13.0,13.0,9.0,12.0,9.0,12.0,9.0,11.0,9.0,9.0,9.0,12.0,12.0,14.0,9.0,10.0,9.0,11.0,9.0,12.0,8.0,10.0,11.0,9.0,13.0,13.0,11.0,11.0,9.0,9.0,9.0,8.0,10.0,10.0,5.0,9.0,8.0,13.0,9.0,13.0,10.0,12.0,10.0,10.0,13.0,10.0,13.0,10.0,11.0,11.0,10.0,12.0,12.0
glycyrrhetinate,8.0,8.0,7.0,7.0,10.0,9.0,9.0,9.0,10.0,9.0,11.0,8.0,8.0,9.0,8.0,10.0,10.0,8.0,8.0,8.0,7.0,9.0,7.0,7.0,6.0,12.0,10.0,7.0,9.0,9.0,9.0,7.0,2.0,9.0,11.0,9.0,8.0,8.0,11.0,7.0,7.0,11.0,7.0,13.0,12.0,10.0,8.0,10.0,11.0,7.0,6.0,11.0,8.0,9.0,7.0,7.0,11.0,8.0,7.0,11.0,8.0,9.0,8.0,4.0,8.0,11.0,7.0,10.0,6.0,6.0,7.0,8.0,11.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,12.0,8.0,12.0,8.0,11.0,8.0,10.0,9.0,8.0,11.0,8.0,0.0,9.0,9.0,11.0,10.0,8.0,8.0,7.0,8.0,11.0,11.0,7.0,10.0,7.0,10.0,7.0,9.0,7.0,7.0,7.0,10.0,10.0,12.0,7.0,8.0,7.0,9.0,7.0,10.0,6.0,8.0,9.0,7.0,11.0,11.0,9.0,9.0,7.0,7.0,7.0,8.0,8.0,6.0,7.0,7.0,6.0,11.0,7.0,11.0,8.0,10.0,8.0,8.0,11.0,8.0,11.0,8.0,9.0,9.0,8.0,10.0,10.0
4-acetamidobenzoate,11.0,11.0,8.0,10.0,11.0,4.0,12.0,10.0,11.0,10.0,6.0,9.0,9.0,10.0,9.0,11.0,11.0,9.0,9.0,7.0,10.0,10.0,10.0,10.0,9.0,13.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,12.0,10.0,11.0,9.0,12.0,10.0,10.0,12.0,10.0,14.0,13.0,11.0,9.0,11.0,12.0,8.0,9.0,12.0,9.0,10.0,10.0,10.0,12.0,11.0,10.0,12.0,9.0,10.0,9.0,9.0,11.0,12.0,8.0,11.0,9.0,9.0,8.0,9.0,12.0,10.0,10.0,11.0,11.0,11.0,9.0,10.0,13.0,9.0,13.0,9.0,12.0,9.0,11.0,10.0,9.0,12.0,11.0,9.0,0.0,10.0,12.0,11.0,7.0,9.0,10.0,7.0,12.0,12.0,8.0,11.0,8.0,11.0,8.0,10.0,10.0,10.0,10.0,11.0,11.0,13.0,10.0,9.0,10.0,8.0,10.0,11.0,9.0,9.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,8.0,10.0,11.0,9.0,11.0,10.0,10.0,9.0,12.0,10.0,12.0,9.0,11.0,9.0,11.0,6.0,9.0,12.0,9.0,10.0,10.0,9.0,11.0,11.0
dopamine 3-O-sulfate,11.0,11.0,8.0,10.0,11.0,10.0,12.0,10.0,9.0,10.0,12.0,9.0,9.0,10.0,7.0,9.0,11.0,9.0,7.0,9.0,10.0,10.0,10.0,10.0,9.0,11.0,11.0,10.0,10.0,10.0,2.0,10.0,9.0,10.0,10.0,10.0,11.0,7.0,12.0,10.0,10.0,10.0,10.0,12.0,11.0,9.0,7.0,9.0,10.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,9.0,10.0,9.0,9.0,11.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,11.0,11.0,11.0,9.0,10.0,11.0,9.0,11.0,7.0,10.0,7.0,11.0,10.0,7.0,10.0,11.0,9.0,10.0,0.0,10.0,9.0,9.0,7.0,10.0,9.0,12.0,10.0,8.0,11.0,8.0,9.0,8.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,7.0,10.0,10.0,10.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,2.0,10.0,8.0,10.0,11.0,9.0,11.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,12.0,7.0,10.0,9.0,2.0,10.0,9.0,11.0,9.0
N-succinyl-leucine,13.0,13.0,10.0,12.0,13.0,12.0,14.0,12.0,5.0,12.0,14.0,11.0,11.0,12.0,9.0,7.0,13.0,11.0,7.0,11.0,12.0,12.0,12.0,12.0,11.0,5.0,13.0,12.0,12.0,12.0,10.0,12.0,11.0,12.0,4.0,12.0,13.0,9.0,14.0,12.0,12.0,4.0,12.0,6.0,5.0,7.0,9.0,5.0,4.0,10.0,11.0,4.0,11.0,12.0,12.0,12.0,4.0,13.0,12.0,4.0,11.0,12.0,11.0,11.0,13.0,4.0,10.0,7.0,11.0,11.0,10.0,11.0,4.0,12.0,12.0,13.0,13.0,13.0,11.0,12.0,5.0,11.0,5.0,9.0,4.0,9.0,13.0,12.0,9.0,4.0,13.0,11.0,12.0,10.0,0.0,9.0,11.0,9.0,12.0,11.0,14.0,4.0,10.0,13.0,10.0,7.0,10.0,12.0,12.0,12.0,12.0,13.0,13.0,5.0,12.0,7.0,12.0,12.0,12.0,13.0,11.0,11.0,12.0,12.0,4.0,4.0,12.0,10.0,12.0,10.0,12.0,13.0,11.0,13.0,12.0,12.0,11.0,4.0,12.0,2.0,11.0,7.0,11.0,13.0,14.0,9.0,4.0,11.0,10.0,12.0,11.0,13.0,7.0
N(1)-acetylspermine,12.0,12.0,9.0,11.0,12.0,11.0,13.0,11.0,8.0,11.0,13.0,10.0,10.0,11.0,8.0,8.0,12.0,10.0,6.0,10.0,11.0,11.0,11.0,11.0,10.0,10.0,12.0,11.0,11.0,11.0,9.0,11.0,10.0,11.0,9.0,11.0,12.0,8.0,13.0,11.0,11.0,9.0,11.0,11.0,10.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,10.0,11.0,11.0,11.0,9.0,12.0,11.0,9.0,10.0,11.0,10.0,10.0,12.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,9.0,11.0,11.0,12.0,12.0,12.0,10.0,11.0,10.0,10.0,10.0,8.0,9.0,8.0,12.0,11.0,8.0,9.0,12.0,10.0,11.0,9.0,9.0,0.0,10.0,8.0,11.0,10.0,13.0,9.0,9.0,12.0,9.0,8.0,9.0,11.0,11.0,11.0,11.0,12.0,12.0,10.0,11.0,6.0,11.0,11.0,11.0,12.0,10.0,10.0,11.0,11.0,9.0,9.0,11.0,9.0,11.0,9.0,11.0,12.0,10.0,12.0,11.0,11.0,10.0,9.0,11.0,9.0,10.0,8.0,10.0,12.0,13.0,8.0,9.0,10.0,9.0,11.0,10.0,12.0,8.0
vanillylmandelate (VMA),10.0,10.0,7.0,9.0,10.0,7.0,11.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,10.0,10.0,8.0,8.0,2.0,9.0,9.0,9.0,9.0,8.0,12.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,11.0,9.0,10.0,8.0,11.0,9.0,9.0,11.0,9.0,13.0,12.0,10.0,8.0,10.0,11.0,7.0,8.0,11.0,8.0,9.0,9.0,9.0,11.0,10.0,9.0,11.0,8.0,9.0,8.0,8.0,10.0,11.0,7.0,10.0,8.0,8.0,7.0,8.0,11.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,12.0,8.0,12.0,8.0,11.0,8.0,10.0,9.0,8.0,11.0,10.0,8.0,7.0,9.0,11.0,10.0,0.0,8.0,9.0,2.0,11.0,11.0,7.0,10.0,7.0,10.0,7.0,9.0,9.0,9.0,9.0,10.0,10.0,12.0,9.0,8.0,9.0,5.0,9.0,10.0,8.0,8.0,9.0,9.0,11.0,11.0,9.0,9.0,9.0,7.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,11.0,9.0,11.0,8.0,10.0,8.0,10.0,9.0,8.0,11.0,8.0,9.0,9.0,8.0,10.0,10.0
3-hydroxyhexanoate,10.0,10.0,7.0,9.0,10.0,9.0,11.0,9.0,8.0,9.0,11.0,8.0,8.0,9.0,6.0,8.0,10.0,8.0,6.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,7.0,9.0,8.0,9.0,9.0,9.0,10.0,6.0,11.0,9.0,9.0,9.0,9.0,11.0,10.0,8.0,2.0,8.0,9.0,7.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,7.0,8.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,10.0,8.0,10.0,6.0,9.0,6.0,10.0,9.0,2.0,9.0,10.0,8.0,9.0,7.0,9.0,8.0,8.0,0.0,9.0,8.0,11.0,9.0,7.0,10.0,7.0,8.0,7.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,6.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,7.0,9.0,7.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,10.0,11.0,2.0,9.0,8.0,7.0,9.0,8.0,10.0,8.0
tiglyl carnitine (C5),9.0,9.0,8.0,8.0,11.0,10.0,10.0,10.0,11.0,10.0,12.0,9.0,9.0,10.0,9.0,11.0,11.0,9.0,9.0,9.0,2.0,10.0,8.0,8.0,7.0,13.0,11.0,8.0,10.0,10.0,10.0,6.0,7.0,10.0,12.0,10.0,9.0,9.0,12.0,8.0,8.0,12.0,6.0,14.0,13.0,11.0,9.0,11.0,12.0,8.0,7.0,12.0,9.0,10.0,2.0,2.0,12.0,9.0,6.0,12.0,9.0,10.0,9.0,7.0,9.0,12.0,8.0,11.0,5.0,5.0,8.0,9.0,12.0,8.0,2.0,7.0,9.0,9.0,9.0,10.0,13.0,9.0,13.0,9.0,12.0,9.0,11.0,10.0,9.0,12.0,9.0,7.0,10.0,10.0,12.0,11.0,9.0,9.0,0.0,9.0,12.0,12.0,8.0,11.0,8.0,11.0,8.0,10.0,6.0,6.0,8.0,11.0,11.0,13.0,6.0,9.0,8.0,10.0,2.0,11.0,7.0,9.0,10.0,6.0,12.0,12.0,10.0,10.0,8.0,8.0,2.0,9.0,9.0,9.0,8.0,6.0,7.0,12.0,2.0,12.0,9.0,11.0,9.0,9.0,12.0,9.0,12.0,9.0,10.0,10.0,9.0,11.0,11.0
vanillin,10.0,10.0,7.0,9.0,10.0,7.0,11.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,10.0,10.0,8.0,8.0,2.0,9.0,9.0,9.0,9.0,8.0,12.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,11.0,9.0,10.0,8.0,11.0,9.0,9.0,11.0,9.0,13.0,12.0,10.0,8.0,10.0,11.0,7.0,8.0,11.0,8.0,9.0,9.0,9.0,11.0,10.0,9.0,11.0,8.0,9.0,8.0,8.0,10.0,11.0,7.0,10.0,8.0,8.0,7.0,8.0,11.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,12.0,8.0,12.0,8.0,11.0,8.0,10.0,9.0,8.0,11.0,10.0,8.0,7.0,9.0,11.0,10.0,2.0,8.0,9.0,0.0,11.0,11.0,7.0,10.0,7.0,10.0,7.0,9.0,9.0,9.0,9.0,10.0,10.0,12.0,9.0,8.0,9.0,5.0,9.0,10.0,8.0,8.0,9.0,9.0,11.0,11.0,9.0,9.0,9.0,7.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,11.0,9.0,11.0,8.0,10.0,8.0,10.0,9.0,8.0,11.0,8.0,9.0,9.0,8.0,10.0,10.0
chlorogenate,13.0,13.0,10.0,12.0,13.0,12.0,14.0,12.0,13.0,12.0,14.0,11.0,11.0,12.0,11.0,13.0,9.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,11.0,15.0,13.0,12.0,12.0,12.0,12.0,12.0,11.0,6.0,14.0,8.0,13.0,11.0,14.0,12.0,12.0,14.0,12.0,16.0,15.0,13.0,11.0,13.0,14.0,10.0,11.0,14.0,11.0,12.0,12.0,12.0,14.0,13.0,12.0,14.0,11.0,8.0,11.0,11.0,13.0,14.0,10.0,13.0,11.0,11.0,10.0,11.0,14.0,12.0,12.0,13.0,13.0,13.0,11.0,12.0,15.0,11.0,15.0,11.0,14.0,11.0,13.0,12.0,11.0,14.0,13.0,11.0,12.0,12.0,14.0,13.0,11.0,11.0,12.0,11.0,0.0,14.0,10.0,13.0,10.0,13.0,10.0,12.0,12.0,12.0,12.0,13.0,9.0,15.0,12.0,11.0,12.0,12.0,12.0,9.0,11.0,11.0,12.0,12.0,14.0,14.0,12.0,12.0,12.0,10.0,12.0,13.0,11.0,13.0,12.0,12.0,11.0,14.0,12.0,14.0,11.0,13.0,11.0,13.0,14.0,11.0,14.0,11.0,12.0,8.0,11.0,13.0,13.0
N-acetyl-3-methylhistidine*,13.0,13.0,10.0,12.0,13.0,12.0,14.0,12.0,5.0,12.0,14.0,11.0,11.0,12.0,9.0,7.0,13.0,11.0,7.0,11.0,12.0,12.0,12.0,12.0,11.0,5.0,13.0,12.0,12.0,12.0,10.0,12.0,11.0,12.0,4.0,12.0,13.0,9.0,14.0,12.0,12.0,4.0,12.0,6.0,5.0,7.0,9.0,5.0,4.0,10.0,11.0,4.0,11.0,12.0,12.0,12.0,4.0,13.0,12.0,4.0,11.0,12.0,11.0,11.0,13.0,4.0,10.0,7.0,11.0,11.0,10.0,11.0,4.0,12.0,12.0,13.0,13.0,13.0,11.0,12.0,5.0,11.0,5.0,9.0,4.0,9.0,13.0,12.0,9.0,4.0,13.0,11.0,12.0,10.0,4.0,9.0,11.0,9.0,12.0,11.0,14.0,0.0,10.0,13.0,10.0,7.0,10.0,12.0,12.0,12.0,12.0,13.0,13.0,5.0,12.0,7.0,12.0,12.0,12.0,13.0,11.0,11.0,12.0,12.0,4.0,4.0,12.0,10.0,12.0,10.0,12.0,13.0,11.0,13.0,12.0,12.0,11.0,4.0,12.0,4.0,11.0,7.0,11.0,13.0,14.0,9.0,2.0,11.0,10.0,12.0,11.0,13.0,7.0
N1-methylinosine,9.0,9.0,6.0,8.0,9.0,8.0,10.0,8.0,9.0,8.0,10.0,5.0,7.0,8.0,7.0,9.0,9.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,11.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,10.0,8.0,9.0,7.0,10.0,8.0,8.0,10.0,8.0,12.0,11.0,9.0,7.0,9.0,10.0,6.0,7.0,10.0,7.0,8.0,8.0,8.0,10.0,9.0,8.0,10.0,7.0,8.0,7.0,7.0,9.0,10.0,4.0,9.0,7.0,7.0,6.0,7.0,10.0,8.0,8.0,9.0,9.0,9.0,7.0,8.0,11.0,7.0,11.0,7.0,10.0,7.0,9.0,8.0,7.0,10.0,9.0,7.0,8.0,8.0,10.0,9.0,7.0,7.0,8.0,7.0,10.0,10.0,0.0,9.0,6.0,9.0,4.0,8.0,8.0,8.0,8.0,9.0,9.0,11.0,8.0,7.0,8.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,10.0,10.0,8.0,8.0,8.0,4.0,8.0,9.0,7.0,9.0,8.0,8.0,7.0,10.0,8.0,10.0,7.0,9.0,7.0,9.0,10.0,7.0,10.0,7.0,8.0,8.0,7.0,9.0,9.0
epicatechin,12.0,12.0,9.0,11.0,6.0,11.0,13.0,11.0,12.0,11.0,13.0,10.0,10.0,5.0,10.0,12.0,12.0,10.0,10.0,10.0,11.0,9.0,11.0,11.0,10.0,14.0,8.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,13.0,11.0,12.0,10.0,13.0,11.0,11.0,13.0,11.0,15.0,14.0,12.0,10.0,12.0,13.0,7.0,10.0,13.0,10.0,11.0,11.0,11.0,13.0,12.0,11.0,13.0,10.0,11.0,10.0,10.0,12.0,13.0,9.0,12.0,10.0,10.0,9.0,10.0,13.0,11.0,11.0,12.0,12.0,12.0,10.0,7.0,14.0,10.0,14.0,10.0,13.0,10.0,6.0,11.0,10.0,13.0,12.0,10.0,11.0,11.0,13.0,12.0,10.0,10.0,11.0,10.0,13.0,13.0,9.0,0.0,7.0,12.0,9.0,7.0,11.0,11.0,11.0,12.0,12.0,14.0,11.0,10.0,11.0,11.0,11.0,12.0,10.0,10.0,7.0,11.0,13.0,13.0,11.0,11.0,11.0,9.0,11.0,12.0,10.0,12.0,11.0,11.0,10.0,13.0,11.0,13.0,10.0,12.0,10.0,12.0,13.0,10.0,13.0,6.0,11.0,11.0,10.0,12.0,12.0
"3,5-dihydroxyphenylpropionate",9.0,9.0,6.0,8.0,7.0,8.0,10.0,8.0,9.0,8.0,10.0,7.0,7.0,6.0,7.0,9.0,9.0,7.0,7.0,7.0,8.0,6.0,8.0,8.0,7.0,11.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,10.0,8.0,9.0,7.0,10.0,8.0,8.0,10.0,8.0,12.0,11.0,9.0,7.0,9.0,10.0,2.0,7.0,10.0,7.0,8.0,8.0,8.0,10.0,9.0,8.0,10.0,7.0,8.0,7.0,7.0,9.0,10.0,6.0,9.0,7.0,7.0,6.0,7.0,10.0,8.0,8.0,9.0,9.0,9.0,7.0,6.0,11.0,7.0,11.0,7.0,10.0,7.0,7.0,8.0,7.0,10.0,9.0,7.0,8.0,8.0,10.0,9.0,7.0,7.0,8.0,7.0,10.0,10.0,6.0,7.0,0.0,9.0,6.0,6.0,8.0,8.0,8.0,9.0,9.0,11.0,8.0,7.0,8.0,8.0,8.0,9.0,7.0,7.0,6.0,8.0,10.0,10.0,8.0,8.0,8.0,6.0,8.0,9.0,7.0,9.0,8.0,8.0,7.0,10.0,8.0,10.0,7.0,9.0,7.0,9.0,10.0,7.0,10.0,5.0,8.0,8.0,7.0,9.0,9.0
